DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Price,Eco2_A,Eco2_B,Eco3_A,Eco3_B,Shops2_A,Shops2_B,LifeSquare_index
7,3,1.5115119,0.12075401,0.11605331,3,17,1986,-0.9986406,23,5067,4,-0.16924,2,6,421803.75,0,1,0,1,0,1,0.47713494
103,1,-0.8985983,-0.17971313,0.080975994,6,12,1969,-0.8774577,19,3806,4,-0.16924,0,3,194273.05,0,1,0,1,0,1,-4.5297045e-05
27,1,-0.59680337,-0.05339828,-0.024255967,2,0,1977,-0.39237276,2,629,1,-0.16924,0,0,135466.56,0,1,0,1,1,0,-0.65084803
6,2,0.4646024,-0.05339828,-0.19964257,18,1,1977,1.0447632,5,1564,0,-0.65140945,0,0,191205.27,0,1,0,1,0,1,0.7410195
88,3,1.3581606,-0.05339828,-0.19964257,13,1,1977,0.07157142,43,8429,3,-0.16924,3,9,410883.9,0,1,0,1,0,1,1.9127812
67,2,-0.15819834,-0.040161937,0.045898676,13,14,1985,-0.9337749,38,4788,2,-0.16924,0,4,235998.2,0,1,0,1,0,1,-0.1798039
24,1,-1.1011726,-0.22793698,-0.024255967,5,5,1960,-0.060747508,50,12238,8,1.2638748,2,3,173155.77,0,1,0,1,0,1,0.22580677
23,2,-0.14654948,-0.057612266,0.080975994,3,3,2019,-0.9501825,1,388,0,-0.16924,0,0,94061.945,0,1,0,1,0,1,-0.025748914
23,1,-0.65539175,-0.05339828,-0.19964257,3,4,1977,-0.88039964,2,475,0,-0.16924,0,0,72659.97,0,1,0,1,0,1,-0.7276775
38,1,-0.41492978,-0.19050644,-0.19964257,21,24,2014,-0.48819363,15,2787,2,-0.6781966,0,7,233717.3,0,1,0,1,0,1,1.0638832
100,4,2.4346056,0.5552122,0.045898676,4,8,1960,0.68299246,23,3975,8,-0.34335673,2,0,600903.8,0,1,0,1,0,1,-0.71013784
74,2,-0.18090226,0.4873954,-0.19964257,7,6,1977,-0.3619477,6,1437,3,-0.16924,0,2,254005.38,0,1,0,1,0,1,-2.0280292
27,2,0.13294198,0.24295922,0.15113063,13,12,1977,-0.9007227,4,915,0,-0.16924,0,0,138396.98,0,1,0,1,0,1,-1.2708666
23,2,0.4857739,-0.05339828,-0.19964257,11,17,1977,-0.3619477,6,1437,3,-0.16924,0,2,193398.61,0,1,0,1,0,1,0.7687825
35,2,-0.4688586,-0.09200734,-0.024255967,4,9,1974,-0.25052908,33,7976,5,-0.16924,0,11,203384.33,0,1,0,1,0,1,-0.17932478
9,1,1.1416171,0.5216006,-0.19964257,8,7,1977,0.3585488,25,5648,1,-1.3344828,2,4,226206.97,0,1,0,1,0,1,-1.3391978
23,2,-0.030321142,-0.05339828,-0.024255967,3,4,1977,-0.70746034,0,168,0,-0.16924,0,0,93217.75,0,1,0,1,0,1,0.0920047
167,2,0.029289665,-0.0053637465,0.010821353,6,5,1956,-0.57625526,21,4231,14,-0.008516854,0,3,299177.5,0,1,0,1,0,1,-0.20485961
119,1,-1.1578348,-0.25041512,-0.059333283,4,5,1963,-0.71722656,66,10573,1,0.39596975,3,8,158611.39,0,1,0,1,0,1,0.45482653
129,3,1.2407341,0.20922375,0.045898676,2,5,1961,-0.824372,24,5613,5,0.42007822,2,5,308656.4,0,1,0,1,0,1,-0.258683
4,2,-0.14754349,0.18021588,-0.059333283,5,12,1976,-0.6454913,37,6856,84,1.223694,2,5,308108.22,0,1,0,1,0,1,-1.292839
62,1,-1.1539901,-0.19129767,-0.024255967,2,9,1979,-0.6862727,52,11217,1,1.7058634,1,7,154480.97,0,1,0,1,0,1,-0.35225886
6,3,1.1843915,-0.05339828,-0.19964257,16,1,1977,1.0447632,5,1564,0,-0.65140945,0,0,193595.8,0,1,0,1,0,1,1.6849103
173,2,-0.5781202,-0.069714434,-0.059333283,3,5,1969,-0.31015185,20,2738,20,-0.16924,1,4,301309.75,0,1,0,1,0,1,-0.5105932
37,4,2.153565,0.38846913,0.080975994,18,22,1985,0.075232126,28,7287,5,-0.9460685,1,3,362108.44,0,1,0,1,0,1,-0.34729445
1,1,0.29423064,-0.05339828,-0.19964257,7,1,1977,-0.9387989,1,264,0,-0.16924,0,1,197006.12,0,1,0,1,0,1,0.5176036
60,1,-0.8039705,0.024444962,0.045898676,13,14,1974,-0.9342938,35,7077,56,1.7072028,3,19,160810.55,0,1,0,1,0,1,-1.3266103
111,2,0.38357306,0.050919652,0.11605331,16,22,2006,-0.21353638,23,4635,5,3.045223,2,4,91594.31,0,1,0,1,0,1,-0.18463238
124,3,1.1085355,0.28075093,-0.024255967,9,9,1953,0.42206237,19,3856,10,-0.16924,2,5,387904.12,0,1,0,1,0,1,-0.6649069
157,2,0.33134088,-0.113355726,0.045898676,5,10,1956,-0.9986406,30,7538,87,4.923005,5,5,555661.94,0,1,0,1,0,1,1.2358782
138,1,-0.99131703,-0.19619973,-0.059333283,2,9,1973,0.64631134,23,5212,6,-0.16924,3,2,165911.16,0,1,0,1,0,1,0.022462424
37,2,0.07150012,-0.052751154,0.045898676,6,16,1982,0.95234597,24,4860,1,-1.2675148,0,3,254688.11,0,1,0,1,0,1,0.21983384
147,1,-0.91550434,-0.20475306,0.080975994,11,14,1973,1.6883968,25,4756,16,2.4518867,5,8,198633.62,0,1,0,1,0,1,0.28635898
66,1,-0.7061247,-0.20555148,0.22128527,4,5,1965,-0.060747508,50,12238,8,1.2638748,2,3,180450.69,0,1,0,1,0,1,0.72305834
42,1,-0.7624967,-0.24342024,0.11605331,4,24,2007,0.33096758,21,5731,0,-0.16924,1,0,171531.56,0,1,0,1,0,1,1.2685231
1,3,1.14875,-0.05339828,-0.19964257,2,17,1977,-0.9387989,1,264,0,-0.16924,0,1,200932.34,0,1,0,1,0,1,1.6381717
94,1,-1.0293311,-0.2529039,0.010821353,8,9,1972,1.3774247,33,8667,2,-0.16924,0,6,170703.88,0,1,0,1,0,1,0.8135112
27,1,-0.20236835,-0.05339828,-0.024255967,13,17,1977,-0.39237276,2,629,1,-0.16924,0,0,155463.1,0,1,0,1,1,0,-0.13360833
41,3,1.5915253,0.10620535,0.18620795,13,14,2013,0.47216997,36,10055,3,-0.16924,1,0,202696.05,0,1,0,1,0,1,0.65323573
23,1,-0.6548856,-0.05339828,-0.19964257,8,25,2014,-0.3619477,6,1437,3,-0.16924,0,2,124902.555,0,1,0,1,0,1,-0.7270137
23,1,-0.5735246,-0.05339828,-0.19964257,5,17,1977,-0.88039964,2,475,0,-0.16924,0,0,80356.32,0,1,0,1,0,1,-0.62032163
58,1,-1.2595971,-0.28374395,-0.024255967,3,12,1973,1.607652,11,2748,1,-0.16924,0,0,117941.29,0,1,0,1,0,1,0.83962727
1,3,-0.18090226,0.6652487,-0.024255967,21,22,1977,-0.9387989,1,264,0,-0.16924,0,1,300180.38,0,1,0,1,0,1,-2.2642887
63,1,-0.74337626,-0.1804774,0.045898676,4,12,1983,1.0062201,26,3889,6,-0.4304151,3,6,181842.47,0,1,0,1,0,1,0.29825586
75,1,-0.42960054,-0.20113957,0.045898676,7,17,1979,-0.57219243,24,5469,1,-1.1804564,0,1,250434.88,0,1,0,1,0,1,1.2092117
147,3,0.9693755,0.15909496,0.010821353,7,12,1966,1.6883968,25,4756,16,2.4518867,5,8,422637.78,0,1,0,1,0,1,-0.23912752
81,4,1.7264413,0.33244178,0.045898676,7,10,1960,1.6883968,25,4756,16,2.4518867,5,8,526817.56,0,1,0,1,0,1,-0.42165393
110,2,-0.022313768,-0.05793401,0.045898676,12,12,1995,-0.71722656,66,10573,1,0.39596975,3,8,223528.98,0,1,0,1,0,1,0.14158338
6,1,-0.88197696,-0.05339828,-0.19964257,9,17,1977,1.0447632,5,1564,0,-0.65140945,0,0,128959.85,0,1,0,1,0,1,-1.0248086
27,1,-0.42894143,-0.1854767,-0.19964257,16,1,1977,-0.8503701,2,469,0,-0.16924,0,0,130190.64,0,1,0,1,0,1,0.9590619
9,1,-0.98389924,-0.21005997,0.080975994,5,12,2008,0.3585488,25,5648,1,-1.3344828,2,4,144224.83,0,1,0,1,0,1,0.21989924
45,1,-0.798301,-0.22784866,0.080975994,10,12,1968,-0.8774577,19,3806,4,-0.16924,0,3,211360.7,0,1,0,1,0,1,0.89414626
23,1,-0.9390953,-0.05339828,-0.19964257,3,3,1977,-0.70746034,0,168,0,-0.16924,0,0,91945.05,0,1,0,1,0,1,-1.0997106
5,2,-0.5525492,-0.12549643,-0.024255967,3,9,1971,0.26852807,16,3433,4,2.1652637,4,5,228628.22,0,1,0,1,0,1,0.0054682638
5,2,0.022735486,-0.086602226,0.045898676,6,14,1977,0.26852807,16,3433,4,2.1652637,4,5,298194.5,0,1,0,1,0,1,0.4733489
45,1,-0.18090226,0.036100537,-0.19964257,11,9,1977,0.64631134,23,5212,6,-0.16924,3,2,247440.53,0,1,0,1,0,1,-0.7007174
57,3,0.43756658,0.34907386,0.045898676,6,9,1977,0.12063436,49,11395,3,0.50847596,3,4,291872.4,0,1,0,1,1,0,-1.356068
99,2,-0.44160092,-0.10628812,-0.024255967,9,9,1972,-0.89496934,35,5776,1,1.4085256,2,4,188832.7,0,1,0,1,0,1,-0.010391175
77,1,-0.8820266,-0.14684373,0.010821353,12,12,1977,-0.99805254,46,10309,1,-1.0532173,1,16,174776.03,0,1,0,1,0,1,-0.32049254
5,1,-1.0982467,-0.16061863,-0.059333283,2,5,1968,0.26852807,16,3433,4,2.1652637,4,5,144605.5,0,1,0,1,0,1,-0.56012774
11,1,-0.7806096,-0.19483174,0.11605331,12,16,1982,-0.99721503,36,5992,0,-0.16924,1,1,165302.12,0,1,0,1,0,1,0.4177767
61,2,-0.1726337,-0.044860657,0.045898676,12,17,2003,1.5246687,52,10311,6,-0.16924,1,9,295873.56,0,1,0,1,0,1,-0.16212542
23,2,0.45379823,-0.05339828,-0.19964257,4,17,1977,-0.3619477,6,1437,3,-0.16924,0,2,158591.8,0,1,0,1,0,1,0.72685164
111,4,2.1110697,0.35427007,0.2563626,3,17,2003,0.14108858,46,7960,6,-0.9058877,3,11,474500.6,0,1,0,1,0,1,-0.24481498
120,3,0.14198059,0.035005745,-0.024255967,6,9,1976,1.867045,27,5664,48,1.7058634,3,11,86480.95,0,1,0,1,0,1,-0.34365252
1,1,-0.52019894,-0.05339828,-0.19964257,21,4,1977,-0.9387989,1,264,0,-0.16924,0,1,179032.67,0,1,0,1,0,1,-0.55039334
121,2,0.18581474,-0.05339828,-0.024255967,22,1,1977,0.7869129,19,3293,16,-0.5335458,3,7,305673.94,0,1,0,1,0,1,0.37543315
27,1,-0.9403328,0.0020983964,0.11605331,8,17,2017,0.7775519,9,1892,0,-0.16924,0,1,108540.77,0,1,0,1,0,1,-1.3822252
101,2,-0.2123452,-0.037133444,0.080975994,9,12,1968,0.8987402,41,6558,7,0.698665,3,2,230372.66,1,0,0,1,0,1,-0.27116522
101,2,-0.5653618,-0.12573121,-0.059333283,4,5,1964,0.8987402,41,6558,7,0.698665,3,2,177535.38,1,0,0,1,0,1,-0.012399767
32,1,-1.2162213,-0.2830387,-0.059333283,5,5,1972,0.14108858,46,7960,6,-0.9058877,3,11,170343.75,0,1,0,1,0,1,0.94656044
21,1,-0.7322246,-0.18918695,0.045898676,3,14,1991,0.6354578,47,8004,3,-1.2072437,3,5,165446.8,0,1,0,1,0,1,0.43413812
23,1,-0.43255046,-0.05339828,-0.024255967,5,3,1977,-0.70746034,0,168,0,-0.16924,0,0,126602.67,0,1,0,1,0,1,-0.43545604
23,1,-0.9608022,-0.05339828,-0.19964257,8,17,1977,-0.3619477,6,1437,3,-0.16924,0,2,123225.91,0,1,0,1,0,1,-1.1281755
21,1,-0.9287025,-0.17986742,-0.024255967,5,6,1962,-0.7101875,25,5487,3,-0.16924,0,4,178032.89,0,1,0,1,0,1,-0.0542265
58,2,-0.31312358,-0.0750254,-0.024255967,3,9,1969,0.25244954,9,1952,1,0.54062057,3,2,152555.77,0,1,0,1,0,1,-0.10495069
111,2,-0.08682488,-0.079413734,0.045898676,15,17,1990,-0.9986406,36,6714,2,2.2041051,0,2,214439.61,0,1,0,1,0,1,0.2485397
27,3,-0.35526186,-0.05339828,-0.024255967,17,25,2016,-0.39237276,2,629,1,-0.16924,0,0,138397.36,0,1,0,1,1,0,-0.3341041
74,2,-0.18090226,0.60249007,-0.19964257,8,21,1977,-0.3619477,6,1437,3,-0.16924,0,2,226808.75,0,1,0,1,0,1,-2.1897671
140,2,-0.4177344,-0.07957154,-0.059333283,4,5,1960,1.0062201,26,3889,6,-0.4304151,3,6,204610.66,0,1,0,1,0,1,-0.21212015
23,3,1.1718938,0.12139705,0.18620795,7,17,2011,-0.3619477,6,1437,3,-0.16924,0,2,145255.44,0,1,0,1,0,1,0.156472
6,3,1.2440693,0.17005287,0.18620795,17,17,2011,1.0447632,5,1564,0,-0.65140945,0,0,212387.36,0,1,0,1,0,1,-0.05799437
7,3,0.86661506,0.124999925,0.080975994,8,16,2012,0.09880995,39,10418,9,-0.16924,1,9,199179.72,0,1,0,1,0,1,-0.14822994
46,1,-1.000583,-0.20563565,-0.059333283,3,5,1968,-0.9986406,47,11319,0,0.15890309,3,5,173393.08,0,1,0,1,0,1,0.12561521
4,3,0.95102984,0.20781729,0.045898676,9,9,1956,-0.997984,22,6398,141,0.026306495,3,23,574631.3,0,1,0,1,0,1,-0.4880385
11,2,-0.46522972,-0.10958811,-0.024255967,7,9,1974,-0.99721503,36,5992,0,-0.16924,1,1,210486.27,0,1,0,1,0,1,-0.014676393
91,1,-1.2230697,-0.21913809,-0.059333283,1,5,1965,-0.9902776,42,7651,1,-0.16924,1,5,140029.72,0,1,0,1,0,1,-0.16118383
30,3,1.2359478,-0.05339828,0.11605331,3,3,2016,-0.997984,22,6398,141,0.026306495,3,23,187612.02,0,1,0,1,0,1,1.752518
0,3,0.48193496,0.12359087,-0.024255967,2,9,1969,1.6883968,25,4756,16,2.4518867,5,8,293122.53,0,1,0,1,0,1,-0.49736074
20,1,-0.18090226,-0.05689335,-0.024255967,6,10,2014,-0.83472776,37,7687,11,-1.1389363,5,5,199248.11,0,1,0,1,0,1,-0.07712947
33,2,-0.5861277,-0.05339828,-0.024255967,7,5,1977,0.9851421,16,3893,27,-0.16924,3,10,240274.8,0,1,0,1,0,1,-0.63684845
27,2,0.5230231,-0.05339828,-0.19964257,10,17,1977,-0.8503701,2,469,0,-0.16924,0,0,187907.06,0,1,0,1,0,1,0.8176289
77,3,1.1546135,0.09883221,0.11605331,16,17,1984,1.5068736,16,4048,3,-0.16924,1,3,322048.44,0,1,0,1,0,1,0.28379664
23,2,0.2650262,0.30575764,-0.19964257,14,25,1977,-0.3619477,6,1437,3,-0.16924,0,2,162052.06,0,1,0,1,0,1,-1.358449
23,3,2.4701543,-0.05339828,-0.19964257,16,25,1977,-0.3619477,6,1437,3,-0.16924,0,2,245260.23,0,1,0,1,0,1,3.370987
23,2,0.31821477,-0.05339828,-0.19964257,23,25,1977,-0.3619477,6,1437,3,-0.16924,0,2,166176.56,0,1,0,1,0,1,0.5490549
85,3,0.8004569,0.14428243,0.11605331,9,16,1982,-0.6862727,52,11217,1,1.7058634,1,7,290525.22,0,1,0,1,0,1,-0.3123907
6,2,0.3735964,-0.05339828,0.11605331,17,17,2014,1.0447632,5,1564,0,-0.65140945,0,0,174742.0,0,1,0,1,0,1,0.6216795
6,2,0.4553211,-0.05339828,-0.024255967,15,17,1977,1.0447632,5,1564,0,-0.65140945,0,0,173654.55,0,1,0,1,0,1,0.7288487
17,1,-0.8775036,-0.2281624,0.11605331,14,12,1966,-0.9986406,18,3374,5,-0.5442607,1,2,202533.97,0,1,0,1,0,1,0.7243047
56,3,0.5654348,0.07988926,0.045898676,2,16,1982,-0.7033501,42,9292,3,2.1344585,0,3,334325.66,0,1,0,1,0,1,-0.17629175
84,4,2.322151,0.49239403,0.080975994,4,5,1961,0.25885588,22,4789,2,4.099299,4,1,415574.12,0,1,0,1,0,1,-0.591813
137,3,0.7944853,0.14521319,0.010821353,17,16,1981,0.68299246,23,3975,8,-0.34335673,2,0,381975.5,0,1,0,1,0,1,-0.3225491
67,2,-0.38546985,-0.11449106,-0.059333283,3,9,1978,-0.9337749,38,4788,2,-0.16924,0,4,219765.03,0,1,0,1,0,1,0.15447521
48,3,0.3112627,0.1258039,-0.024255967,2,12,1982,-0.6531115,46,9515,5,-0.16924,1,10,296954.44,0,1,0,1,0,1,-0.66631764
143,2,-0.15305345,-0.08135087,0.11605331,7,16,1978,-0.57968855,18,3746,9,-1.2742116,3,1,372616.47,0,1,0,1,0,1,0.1740048
66,1,-0.72321135,-0.17381215,0.080975994,5,14,1973,-0.060747508,50,12238,8,1.2638748,2,3,208885.9,0,1,0,1,0,1,0.25178587
11,1,-0.79337275,-0.21140277,0.010821353,9,9,1979,-0.6735422,28,6533,1,-0.015213652,2,5,157759.03,0,1,0,1,0,1,0.6342743
23,1,-0.18090226,-0.05339828,-0.024255967,5,12,1977,-0.70746034,0,168,0,-0.16924,0,0,60502.582,0,1,0,1,0,1,-0.105458796
63,2,-0.6080051,-0.09530843,-0.059333283,6,12,1971,1.0062201,26,3889,6,-0.4304151,3,6,254391.27,0,1,0,1,0,1,-0.35277957
57,1,-0.7598826,-0.18673137,0.080975994,8,16,1979,0.12063436,49,11395,3,0.50847596,3,4,183295.12,0,1,0,1,1,0,0.34836012
88,1,-0.6763436,-0.05339828,0.11605331,13,20,2015,0.07157142,43,8429,3,-0.16924,3,9,221782.0,0,1,0,1,0,1,-0.75515276
31,1,-1.0343685,-0.23020767,-0.024255967,2,5,1961,0.27297002,32,5889,10,-0.26299518,4,1,183658.92,0,1,1,0,0,1,0.40894747
9,2,0.23887804,0.26592046,-0.19964257,2,11,1977,0.3585488,25,5648,1,-1.3344828,2,4,166221.47,0,1,0,1,0,1,-1.2612735
27,4,3.1926932,0.5447785,0.22128527,8,12,2015,-0.39237276,2,629,1,-0.16924,0,0,221374.06,0,1,0,1,1,0,-0.26622415
21,2,-0.16969866,-0.06378292,0.045898676,11,17,1993,0.6354578,47,8004,3,-1.2072437,3,5,208896.5,0,1,0,1,0,1,-0.004843244
5,3,0.2506827,0.021935679,0.010821353,10,9,1976,0.26852807,16,3433,4,2.1652637,4,5,298947.3,0,1,0,1,0,1,-0.139215
6,1,-0.26856902,-0.05339828,-0.19964257,4,1,1977,1.0447632,5,1564,0,-0.65140945,0,0,137820.11,0,1,0,1,0,1,-0.22042024
1,1,-0.7194408,-0.05339828,-0.19964257,15,17,1977,-0.9387989,1,264,0,-0.16924,0,1,135630.05,0,1,0,1,0,1,-0.81166774
11,2,-0.46283558,-0.13687114,-0.059333283,7,5,1966,-0.6735422,28,6533,1,-0.015213652,2,5,189473.47,0,1,0,1,0,1,0.2687672
27,4,-0.18090226,0.8369122,-0.19964257,3,1,2019,-0.39237276,2,629,1,-0.16924,0,0,294689.62,0,1,0,1,1,0,-2.4319007
53,2,0.15690471,0.0044347094,0.11605331,11,17,2016,-0.58158845,34,7759,0,-1.0679502,1,3,308901.34,0,1,0,1,0,1,-0.12481269
163,3,0.7930666,0.13546677,0.010821353,9,12,1991,-0.9342938,35,7077,56,1.7072028,3,19,415613.56,0,1,0,1,0,1,-0.27287242
96,1,-0.7126791,-0.18855135,0.045898676,10,14,1995,-0.65318114,53,14892,4,-0.16924,1,4,174939.53,0,1,0,1,0,1,0.4629381
200,3,2.5730398,0.34856588,0.18620795,6,16,1997,-0.9986406,33,7425,1,-0.16924,2,5,587987.4,0,1,0,1,0,1,0.09055577
53,3,0.8763221,0.104871735,0.010821353,12,12,1981,-0.58158845,34,7759,0,-1.0679502,1,3,375533.66,0,1,0,1,0,1,-0.022210602
78,1,-0.5141736,0.042478863,0.11605331,17,24,2009,-0.22321486,21,4346,2,-1.1536692,1,2,212021.27,0,1,0,1,0,1,-1.0925474
27,2,-0.6061769,-0.11737768,-0.059333283,3,5,1975,0.7775519,9,1892,0,-0.16924,0,1,122017.67,0,1,0,1,0,1,-0.15637973
44,1,-0.8852316,-0.2146634,0.080975994,11,12,1972,-0.6951412,24,4378,0,0.012912899,1,1,203275.69,0,1,0,1,0,1,0.49222288
53,2,0.089810655,0.011115421,0.11605331,11,24,2019,-0.58158845,34,7759,0,-1.0679502,1,3,346494.28,0,1,0,1,0,1,-0.24771053
53,2,-0.0052177645,-0.05339828,-0.024255967,14,0,1977,-0.58158845,34,7759,0,-1.0679502,1,3,247074.56,0,1,0,1,0,1,0.12492396
182,3,-0.53801817,-0.08124832,-0.024255967,5,4,1977,1.0734904,14,2940,45,-0.16924,3,6,352139.66,0,1,0,1,0,1,-0.36684072
77,3,0.52389795,0.16478914,-0.024255967,14,12,1976,-0.99805254,46,10309,1,-1.0532173,1,16,238561.88,0,1,0,1,0,1,-0.6554367
111,2,0.076618284,-0.07942997,0.080975994,12,21,2010,-0.21353638,23,4635,5,3.045223,2,4,400989.2,0,1,0,1,0,1,0.4768782
2,1,-1.0407152,-0.19248602,-0.059333283,2,5,1968,1.6016023,35,7715,4,-0.04869764,0,6,158806.98,0,1,0,1,0,1,-0.119256034
9,3,1.1863773,0.14910533,0.11605331,5,14,1993,0.3585488,25,5648,1,-1.3344828,2,4,246800.16,0,1,0,1,0,1,0.0065775933
27,1,-0.39799565,-0.21685705,0.32651722,2,14,2011,-0.56328744,5,1227,0,-0.16924,0,0,131073.66,0,1,0,1,0,1,1.5583128
74,1,-0.4843981,-0.05339828,-0.024255967,6,0,1977,-0.3619477,6,1437,3,-0.16924,0,2,168705.45,0,1,0,1,0,1,-0.5034463
73,2,0.24004656,0.034304984,0.010821353,9,16,2007,-0.6454913,37,6856,84,1.223694,2,5,426593.25,0,1,0,1,0,1,-0.23254003
45,1,-0.18090226,-0.05339828,-0.19964257,3,1,1977,0.64631134,23,5212,6,-0.16924,3,2,438005.2,0,1,0,1,0,1,-0.105458796
9,2,1.0797213,-0.05339828,-0.19964257,4,1,1977,0.3585488,25,5648,1,-1.3344828,2,4,228956.2,0,1,0,1,0,1,1.5476519
6,1,-0.6705332,-0.05339828,-0.19964257,17,17,1977,1.0447632,5,1564,0,-0.65140945,0,0,129409.39,0,1,0,1,0,1,-0.74753314
23,1,-0.08501464,-0.05339828,-0.024255967,4,9,1977,-0.88039964,2,475,0,-0.16924,0,0,106429.78,0,1,0,1,0,1,0.020282751
58,1,-0.18090226,0.13888066,-0.024255967,3,2,2019,2.6804702,23,5735,3,0.07720216,0,5,106866.25,0,1,0,1,0,1,-1.1726531
0,1,-1.145679,-0.19751531,0.010821353,5,9,1971,1.6883968,25,4756,16,2.4518867,5,8,162322.78,0,1,0,1,0,1,-0.26593482
0,2,0.34208435,0.0023417613,0.11605331,10,22,2007,1.6883968,25,4756,16,2.4518867,5,8,334328.6,0,1,0,1,0,1,0.10488908
21,2,-0.10819703,-0.07565213,0.045898676,19,17,1995,-0.7101875,25,5487,3,-0.16924,0,4,271788.0,0,1,0,1,0,1,0.18380614
74,2,1.7941432,0.18344003,0.2563626,17,23,2010,2.1197524,34,7065,1,-0.37014392,2,5,383841.94,0,1,0,1,0,1,0.33637577
70,3,0.83176696,0.09786938,0.045898676,18,22,1982,-0.98005825,39,7614,3,-0.16924,1,5,408096.4,0,1,0,1,1,0,-0.022781553
1,3,1.4876361,-0.05339828,-0.19964257,6,17,1977,-0.9387989,1,264,0,-0.16924,0,1,306428.78,0,1,0,1,0,1,2.082568
22,1,-0.87205225,-0.19448398,0.11605331,9,22,1991,0.12063436,49,11395,3,0.50847596,3,4,215837.94,0,1,0,1,1,0,0.23424819
23,3,1.4007434,-0.05339828,-0.19964257,2,17,1977,-0.3619477,6,1437,3,-0.16924,0,2,187489.95,0,1,0,1,0,1,1.9686216
98,1,-0.9764217,-0.20853007,-0.059333283,5,5,1962,0.64631134,23,5212,6,-0.16924,3,2,165514.75,0,1,0,1,0,1,0.21417202
